Variable name:,res_t1
Variable type:,real(8),  0,(e25.17e3)
Variable rank:,  2
Variable dims:,        20,         4





 0.00000000000000000E+000, 0.42235571945740691E+000,-0.28618664754455962E+001, 0.10000000000000000E+001
 0.22990655037849181E-001, 0.43468045108799136E+000,-0.28190127930687638E+001, 0.10000000000000000E+001
 0.51267012266392104E-001, 0.44991331826944814E+000,-0.27675355027474611E+001, 0.10000000000000000E+001
 0.86044289242619226E-001, 0.46873327428032940E+000,-0.27059873423111247E+001, 0.10000000000000000E+001
 0.12881709000000807E+000, 0.49169072092936461E+000,-0.26327960588902339E+001, 0.10000000000000000E+001
 0.18142363782955470E+000, 0.52021000244482940E+000,-0.25463000714303945E+001, 0.10000000000000000E+001
 0.24612477559791354E+000, 0.55559075577875050E+000,-0.24448023220117552E+001, 0.10000000000000000E+001
 0.32570112875615920E+000, 0.65755057459820798E+000,-0.23196878318220691E+001, 0.10000000000000000E+001
 0.42357260676071784E+000, 0.71037375163196259E+000,-0.21708321327833970E+001, 0.10000000000000000E+001
 0.54394537865374881E+000, 0.77542692336467989E+000,-0.20019566783505893E+001, 0.10000000000000000E+001
 0.69199263929220356E+000, 0.85559217361844975E+000,-0.18123892143170086E+001, 0.10000000000000000E+001
 0.87407693491703087E+000, 0.95509706453569787E+000,-0.16019106381158492E+001, 0.10000000000000000E+001
 0.10980236028270596E+001, 0.11988750818529723E+001,-0.13658352847647612E+001, 0.10000000000000000E+001
 0.13734570766250407E+001, 0.13528245115013968E+001,-0.10807131982245879E+001, 0.10000000000000000E+001
 0.17122145102426800E+001, 0.15423050716948195E+001,-0.77849915158816940E+000, 0.10000000000000000E+001
 0.21288544968384220E+001, 0.13039121784383054E+001,-0.29181777532359687E+000, 0.00000000000000000E+000
 0.26412827455021315E+001, 0.15951585334195439E+001, 0.18219631746779302E+000, 0.00000000000000000E+000
 0.32715216051326066E+001, 0.20837561805351070E+001, 0.68739403834523805E+000, 0.00000000000000000E+000
 0.40466565068951983E+001, 0.25322391282843904E+001, 0.11790988905089375E+001, 0.00000000000000000E+000
 0.50000000000000000E+001, 0.31846875812301194E+001, 0.16622849983031789E+001, 0.00000000000000000E+000
